sequence,window_i,window_j,window_distance,n_overlap,n_inliers,Q_disp_med_deg,Q_disp_p90_deg,Q_disp_max_deg,weight,edge_status,q00,q01,q02,q10,q11,q12,q20,q21,q22
plantview__langdon_4__05-03-24,32,35,3,4,3,0.2237,2.2362,3.0028,0.272387,OK,0.999644,-0.013653,0.022925,0.026214,0.34229,-0.939228,0.004976,0.939495,0.342526
plantview__langdon_4__05-03-24,33,34,1,12,12,0.0,2.5282,2.5884,1.0,OK,0.999484,-0.025741,0.019202,0.031428,0.906896,-0.42018,-0.006598,0.420567,0.907238
plantview__langdon_4__05-03-24,33,35,2,8,8,0.984,2.7436,2.8157,0.336022,OK,0.999252,-0.017133,0.034676,0.037301,0.663951,-0.746845,-0.010228,0.74758,0.664093
plantview__langdon_4__05-03-24,33,36,3,4,4,0.9119,1.4503,1.5314,0.17435,OK,0.965013,-0.056787,-0.25598,-0.211255,0.409888,-0.887335,0.155313,0.910367,0.38355
plantview__langdon_4__05-03-24,34,35,1,12,12,0.0,1.1663,2.1625,1.0,OK,0.999999,-0.000655,0.001298,0.001118,0.917123,-0.398602,-0.00093,0.398603,0.917123
plantview__langdon_4__05-03-24,34,36,2,8,8,0.0,0.9201,2.3451,0.666667,OK,0.95583,-0.051126,-0.289439,-0.151858,0.757232,-0.635248,0.25165,0.651142,0.716021
plantview__langdon_4__05-03-24,34,37,3,4,4,0.3747,0.7096,0.8327,0.242469,OK,0.956467,0.076454,-0.281647,-0.15521,0.950533,-0.269066,0.247144,0.301067,0.92102
plantview__langdon_4__05-03-24,35,36,1,12,12,0.6984,1.8779,2.4935,0.588801,OK,0.956636,-0.05035,-0.286902,-0.038817,0.954127,-0.296874,0.288688,0.295137,0.910798
plantview__langdon_4__05-03-24,35,37,2,8,8,0.4777,1.508,1.6906,0.451155,OK,0.958203,0.08081,-0.274437,-0.047359,0.990847,0.126407,0.28214,-0.108126,0.95326
plantview__langdon_4__05-03-24,35,38,3,4,4,0.4705,1.7748,2.1321,0.226685,OK,0.954914,0.206538,-0.213262,-0.06818,0.851706,0.519566,0.288946,-0.481601,0.827388
plantview__langdon_4__05-03-24,36,37,1,12,12,0.0,3.5788,4.602,1.0,OK,0.999949,0.009986,0.001712,-0.009795,0.909635,0.415293,0.00259,-0.415289,0.909686
plantview__langdon_4__05-03-24,36,38,2,8,8,1.7526,3.5081,3.546,0.242197,OK,0.999407,0.033344,0.008544,-0.028481,0.661657,0.749266,0.01933,-0.749065,0.662214
plantview__langdon_4__05-03-24,36,39,3,4,4,1.4587,3.2607,3.4078,0.135572,OK,0.999712,0.022658,0.007869,-0.014107,0.290094,0.956894,0.019399,-0.95673,0.29033
plantview__langdon_4__05-03-24,37,38,1,12,12,0.9032,3.5616,4.2879,0.525421,OK,0.999805,0.018976,0.005512,-0.019576,0.913198,0.407045,0.00269,-0.407074,0.913391
plantview__langdon_4__05-03-24,37,39,2,8,8,2.0465,3.9028,4.5606,0.21883,OK,0.999983,0.003828,0.004468,-0.005883,0.658304,0.752729,-6e-05,-0.752742,0.658315
plantview__langdon_4__05-03-24,37,40,3,4,4,1.7837,3.638,4.3661,0.119746,OK,0.999911,0.01307,0.002507,-0.007774,0.420795,0.907122,0.010801,-0.907062,0.420859
plantview__langdon_4__05-03-24,38,39,1,12,12,1.0805,1.4623,1.9395,0.480659,OK,0.999906,-0.007808,-0.011278,0.011755,0.911478,0.411181,0.007069,-0.411275,0.911484
plantview__langdon_4__05-03-24,38,40,2,8,7,0.2493,1.3376,1.5205,0.533649,OK,0.999742,0.016563,-0.015537,-0.00257,0.76227,0.647255,0.022564,-0.647048,0.762116
plantview__langdon_4__05-03-24,38,41,3,4,4,0.6656,0.8556,0.8878,0.200127,OK,0.999803,0.011897,-0.015896,-0.006564,0.953646,0.30086,0.018739,-0.300696,0.953536
plantview__langdon_4__05-03-24,39,40,1,12,11,0.7711,2.3785,3.0871,0.564609,OK,0.999768,0.021361,-0.002751,-0.019739,0.959889,0.279685,0.008615,-0.279566,0.960088
plantview__langdon_4__05-03-24,39,41,2,8,8,0.6026,1.1015,1.1109,0.416003,OK,0.999825,0.018542,-0.002603,-0.01871,0.994765,-0.10046,0.000727,0.100492,0.994938
plantview__langdon_4__05-03-24,39,42,3,4,4,1.0444,2.2646,2.7648,0.163048,OK,0.999985,-0.003878,0.003745,0.005233,0.865267,-0.501283,-0.001296,0.501296,0.865275
plantview__langdon_4__05-03-24,40,41,1,12,12,0.9483,3.4504,4.1764,0.513263,OK,0.99999,0.001106,0.004287,0.000545,0.930135,-0.367217,-0.004394,0.367215,0.930126
plantview__langdon_4__05-03-24,40,42,2,8,8,1.9984,2.7165,2.9429,0.222344,OK,0.999593,-0.018119,0.022019,0.028423,0.695155,-0.718298,-0.002292,0.718632,0.695387
plantview__langdon_4__05-03-24,40,43,3,4,4,2.2046,2.8221,2.9238,0.104016,OK,0.999709,-0.014538,0.01924,0.023136,0.353184,-0.935268,0.006802,0.935441,0.353417
plantview__langdon_4__05-03-24,41,42,1,12,12,0.6486,2.8529,3.6479,0.606591,OK,0.999447,-0.022348,0.024626,0.030708,0.904407,-0.425565,-0.012761,0.426086,0.904593
plantview__langdon_4__05-03-24,41,43,2,8,8,0.5622,2.8188,3.0297,0.426746,OK,0.999468,-0.016526,0.028133,0.032095,0.653274,-0.756441,-0.005877,0.756941,0.653456
plantview__langdon_4__05-03-24,41,44,3,4,4,0.6916,2.1227,2.4396,0.197056,OK,0.958366,-0.062437,-0.278633,-0.232704,0.394724,-0.888843,0.16548,0.916676,0.363761
plantview__langdon_4__05-03-24,42,43,1,12,12,0.2882,2.25,2.9633,0.776286,OK,0.99991,-0.00515,-0.012418,-0.000227,0.917108,-0.398638,0.013442,0.398605,0.917024
plantview__langdon_4__05-03-24,42,44,2,8,8,1.4477,2.4998,2.5283,0.272369,OK,0.945146,-0.065788,-0.319954,-0.16179,0.756635,-0.633504,0.283765,0.650519,0.704487
plantview__langdon_4__05-03-24,42,45,3,4,4,0.488,1.2635,1.3867,0.224008,OK,0.947368,0.077448,-0.310636,-0.164731,0.949917,-0.265558,0.274512,0.302752,0.91268
plantview__langdon_4__05-03-24,43,44,1,12,12,1.0679,3.1027,4.8895,0.483573,OK,0.951024,-0.058682,-0.303497,-0.036486,0.953643,-0.298721,0.306957,0.295164,0.904796
plantview__langdon_4__05-03-24,43,45,2,8,6,0.3768,2.6653,3.248,0.484228,OK,0.954519,0.077343,-0.287942,-0.044283,0.991832,0.119615,0.294842,-0.101423,0.950148
plantview__langdon_4__05-03-24,43,46,3,4,4,1.7193,3.1988,3.6829,0.122583,OK,0.951891,0.210736,-0.222474,-0.063404,0.845732,0.529827,0.299807,-0.490232,0.818406
plantview__langdon_4__05-03-24,44,45,1,12,12,1.5248,2.8562,2.8842,0.396064,OK,0.999883,0.010604,0.011061,-0.014258,0.908283,0.418114,-0.005613,-0.418222,0.908327
plantview__langdon_4__05-03-24,44,46,2,8,8,2.6817,3.8371,4.5646,0.181074,OK,0.999363,0.031594,0.016569,-0.033131,0.649688,0.759479,0.01323,-0.759544,0.650321
plantview__langdon_4__05-03-24,44,47,3,4,4,2.7034,4.5472,5.0473,0.090007,OK,0.999554,0.021777,0.020441,-0.025839,0.287243,0.957509,0.01498,-0.95761,0.287677
plantview__langdon_4__05-03-24,45,46,1,12,12,0.7177,2.5099,4.3874,0.58217,OK,0.999756,0.021911,0.002811,-0.021098,0.909335,0.41553,0.006548,-0.415488,0.909575
plantview__langdon_4__05-03-24,45,47,2,8,8,1.0832,2.9753,4.361,0.320014,OK,0.999909,0.011376,0.007204,-0.012951,0.666089,0.74576,0.003685,-0.745785,0.666176
plantview__langdon_4__05-03-24,45,48,3,4,4,2.2001,3.7044,4.3478,0.104163,OK,0.999871,0.013202,0.009096,-0.013816,0.421725,0.906618,0.008134,-0.906627,0.421854
plantview__langdon_4__05-03-24,46,47,1,12,12,0.6383,1.1871,1.2225,0.610375,OK,0.999943,-0.009387,-0.005101,0.010645,0.915935,0.401185,0.000906,-0.401217,0.915983
plantview__langdon_4__05-03-24,46,48,2,8,8,0.2254,0.9177,1.0417,0.544018,OK,0.999933,0.007643,-0.008694,-0.000171,0.760742,0.649055,0.011575,-0.64901,0.760692
