sequence,window_i,window_j,window_distance,n_overlap,n_inliers,Q_disp_med_deg,Q_disp_p90_deg,Q_disp_max_deg,weight,edge_status,q00,q01,q02,q10,q11,q12,q20,q21,q22
plantview__langdon_4__15-04-24,16,17,1,8,8,3.3793,4.5593,4.8965,0.152232,OK,0.999674,-0.015067,0.020619,0.025398,0.670832,-0.741175,-0.002664,0.741457,0.670996
plantview__langdon_4__15-04-24,17,18,1,8,8,1.5082,2.1135,2.2693,0.265799,OK,0.961822,0.015485,-0.273237,-0.094942,0.955275,-0.280065,0.25668,0.295314,0.920275
plantview__langdon_4__15-04-24,18,19,1,8,8,2.953,3.9616,4.0643,0.16865,OK,0.999957,0.009258,-0.00045,-0.005896,0.672719,0.739874,0.007152,-0.73984,0.672745
plantview__langdon_4__15-04-24,19,20,1,8,8,0.5457,1.0746,1.3372,0.431294,OK,0.999997,-0.000756,-0.002187,0.001363,0.95628,0.292449,0.00187,-0.292451,0.956279
plantview__langdon_4__15-04-24,20,21,1,8,8,2.2399,3.6636,3.9995,0.20577,OK,0.999969,-0.004431,0.006446,0.007756,0.668833,-0.743372,-0.001017,0.743399,0.668847
plantview__langdon_4__15-04-24,21,22,1,8,8,0.6781,1.3514,1.4083,0.397282,OK,0.95885,0.009232,-0.283764,-0.090704,0.957053,-0.275358,0.269035,0.289765,0.918508
plantview__langdon_4__15-04-24,22,23,1,8,8,1.0226,3.8257,4.4997,0.329616,OK,0.999645,0.022511,0.014283,-0.025594,0.660335,0.750535,0.007464,-0.750634,0.660676
plantview__langdon_4__15-04-24,23,24,1,8,7,1.0778,1.5369,2.1274,0.320856,OK,0.999979,0.005192,-0.004001,-0.003776,0.955236,0.295819,0.005357,-0.295798,0.955236
plantview__langdon_4__15-04-24,24,25,1,8,8,2.4688,3.3552,3.5538,0.192192,OK,0.999338,-0.015069,0.033117,0.034698,0.668578,-0.742832,-0.010947,0.743489,0.668659
plantview__langdon_4__15-04-24,25,26,1,8,8,1.2052,1.6799,1.6914,0.302321,OK,0.963628,0.015262,-0.26681,-0.096155,0.951306,-0.292866,0.249349,0.307869,0.918173
plantview__langdon_4__15-04-24,26,27,1,8,8,1.4173,3.2829,3.3946,0.275787,OK,0.9998,0.018175,0.008323,-0.018229,0.6581,0.75271,0.008203,-0.752711,0.6583
plantview__langdon_4__15-04-24,27,28,1,8,8,0.8184,1.5253,1.5662,0.366625,OK,0.999996,-0.000637,-0.002625,0.001384,0.955337,0.295517,0.00232,-0.295519,0.955334
plantview__langdon_4__15-04-24,28,29,1,8,6,0.5077,3.3134,3.4818,0.442162,OK,0.999405,-0.015682,0.030729,0.03325,0.675384,-0.736716,-0.009201,0.737299,0.675503
plantview__langdon_4__15-04-24,29,30,1,8,8,0.9247,1.6952,1.8752,0.346377,OK,0.966822,0.011561,-0.255191,-0.088031,0.952864,-0.290347,0.239805,0.303178,0.922267
plantview__langdon_4__15-04-24,30,31,1,8,8,1.7381,2.4869,3.6214,0.243481,OK,0.999918,0.012246,0.003612,-0.010806,0.661001,0.750307,0.0068,-0.750285,0.66108
plantview__langdon_4__15-04-24,31,32,1,8,8,0.7686,1.2475,1.2514,0.376953,OK,0.999981,0.003596,0.00501,-0.004947,0.952812,0.303522,-0.003682,-0.303541,0.952811
plantview__langdon_4__15-04-24,32,33,1,8,5,0.0,3.068,3.0978,0.666667,OK,0.99981,-0.014565,0.012991,0.019335,0.648634,-0.760855,0.002656,0.760961,0.648792
plantview__langdon_4__15-04-24,33,34,1,8,8,0.4704,1.5299,1.5383,0.453387,OK,0.94478,0.026381,-0.326642,-0.117164,0.958064,-0.261506,0.306046,0.285336,0.908251
plantview__langdon_4__15-04-24,34,35,1,8,5,0.3754,3.258,3.9545,0.484712,OK,0.999762,0.021138,0.005451,-0.018065,0.660942,0.75022,0.012256,-0.750139,0.661166
plantview__langdon_4__15-04-24,35,36,1,8,8,0.9984,1.6638,2.2272,0.333605,OK,0.99998,0.005779,0.002616,-0.006306,0.950599,0.310358,-0.000693,-0.310369,0.950616
plantview__langdon_4__15-04-24,36,37,1,8,8,1.0112,2.9038,3.2347,0.331471,OK,0.99982,-0.013838,0.012947,0.018825,0.647084,-0.762186,0.002169,0.762293,0.647228
plantview__langdon_4__15-04-24,37,38,1,8,8,2.117,2.4035,2.6606,0.213884,OK,0.953178,0.020249,-0.301733,-0.11005,0.95257,-0.283725,0.281676,0.303646,0.910196
plantview__langdon_4__19-03-24,0,1,1,8,8,1.8325,3.4975,3.9536,0.235361,OK,0.999815,-0.014649,0.01243,0.019048,0.67138,-0.740868,0.002508,0.740968,0.671535
plantview__langdon_4__19-03-24,1,2,1,8,8,0.0,1.2178,1.3017,0.666667,OK,0.954037,-0.053741,-0.294832,-0.156179,0.750485,-0.642168,0.255778,0.658699,0.707597
plantview__langdon_4__19-03-24,2,3,1,8,8,1.4121,4.0048,5.5662,0.276389,OK,0.999984,0.00427,-0.003807,2.1e-05,0.662706,0.74888,0.00572,-0.748867,0.662695
plantview__langdon_4__19-03-24,3,4,1,8,8,0.0,0.4485,0.6864,0.666667,OK,0.99996,0.008919,0.001198,-0.007236,0.717681,0.696335,0.00535,-0.696315,0.717716
plantview__langdon_4__19-03-24,4,5,1,8,8,0.8095,2.9675,3.6228,0.368424,OK,0.999533,-0.024812,0.017839,0.029929,0.676976,-0.735396,0.00617,0.735587,0.677402
plantview__langdon_4__19-03-24,5,6,1,8,8,0.0,1.0897,1.1983,0.666667,OK,0.952403,-0.05634,-0.299591,-0.155959,0.754367,-0.637658,0.261928,0.654031,0.709674
plantview__langdon_4__19-03-24,6,7,1,8,8,1.5556,4.0283,4.7598,0.260868,OK,0.999984,0.005534,-0.000951,-0.002977,0.666202,0.745765,0.004761,-0.745751,0.666208
plantview__langdon_4__19-03-24,7,8,1,8,8,0.8322,2.0371,2.8597,0.36386,OK,0.999656,0.023297,-0.012047,-0.008129,0.711925,0.702209,0.024936,-0.701869,0.711869
plantview__langdon_4__19-03-24,8,9,1,8,8,1.5797,2.6921,2.8767,0.258431,OK,0.999768,-0.014683,0.015755,0.021536,0.676793,-0.735859,0.000142,0.736027,0.676952
plantview__langdon_4__19-03-24,9,10,1,8,7,0.264,1.2343,2.0309,0.527424,OK,0.95183,-0.053451,-0.301933,-0.161363,0.749993,-0.641461,0.260734,0.659282,0.705241
plantview__langdon_4__19-03-24,10,11,1,8,8,2.6264,3.326,3.7271,0.183838,OK,0.999932,0.008905,0.007592,-0.011619,0.678377,0.734622,0.001392,-0.73466,0.678434
plantview__langdon_4__19-03-24,11,12,1,8,8,1.4158,2.0108,2.0392,0.275957,OK,0.999139,0.029603,-0.029079,-0.001701,0.7294,0.684085,0.041461,-0.683446,0.728822
plantview__langdon_4__19-03-24,12,13,1,8,8,1.4047,3.4079,3.7242,0.277237,OK,0.999638,-0.020613,0.017306,0.026728,0.684755,-0.728283,0.003161,0.728482,0.685058
plantview__langdon_4__19-03-24,13,14,1,8,8,1.5372,1.992,2.0838,0.262755,OK,0.947311,-0.062755,-0.314109,-0.160425,0.755818,-0.634825,0.277248,0.651767,0.705927
plantview__langdon_4__19-03-24,14,15,1,8,8,1.6592,3.1053,3.4687,0.250703,OK,0.999921,0.012566,9.8e-05,-0.00856,0.675373,0.737427,0.0092,-0.737369,0.675427
plantview__langdon_4__19-03-24,15,16,1,8,8,1.3572,1.8927,1.9315,0.282827,OK,0.999635,0.021761,-0.01599,-0.005077,0.733009,0.6802,0.026523,-0.67987,0.732853
