seq_id,date,offset,order,n_views,rot_median,rot_p90,center_median_norm,pose_gate
plantview__langdon_4__15-04-24,15-04-24,81,forward,16,3.4696157039146174,14.5438556833695,0.03268383818733936,PASS
plantview__langdon_4__15-04-24,15-04-24,84,forward,16,6.943317698537522,11.16859817753202,0.15869494793629102,PASS
plantview__langdon_4__15-04-24,15-04-24,87,forward,16,8.172252150507404,10.019089319495585,0.21479047307865176,PASS
plantview__langdon_4__15-04-24,15-04-24,90,forward,16,4.804712952244627,13.39966047994797,0.0720011312083648,PASS
plantview__langdon_4__15-04-24,15-04-24,93,forward,16,2.655369475515467,5.358562844743533,0.03952235577727457,PASS
plantview__langdon_4__15-04-24,15-04-24,96,forward,16,3.193063745563641,4.982877248378852,0.055216315634194796,PASS
plantview__langdon_4__15-04-24,15-04-24,99,forward,16,2.3395589750898265,3.382114253323639,0.058620262715807836,PASS
plantview__langdon_4__15-04-24,15-04-24,102,forward,16,2.392348486299263,2.745420816405208,0.07826360540321539,PASS
plantview__langdon_4__15-04-24,15-04-24,105,forward,16,2.060856739765959,3.4823250455478334,0.06170452658588797,PASS
plantview__langdon_4__15-04-24,15-04-24,108,forward,16,1.491634825603722,3.2723713468265108,0.02789939747596208,PASS
plantview__langdon_4__15-04-24,15-04-24,111,forward,16,2.4675769821968965,3.8993342616947118,0.02574037240684205,PASS
plantview__langdon_4__15-04-24,15-04-24,114,forward,16,5.316670906545442,14.189526840598436,0.0933203625984596,PASS
plantview__langdon_4__15-04-24,15-04-24,117,forward,16,8.161192796487835,10.491856511915726,0.1536765939945068,PASS
plantview__langdon_4__15-04-24,15-04-24,120,forward,16,7.341777868113457,11.085719065443095,0.12320090659436998,PASS
plantview__langdon_4__15-04-24,15-04-24,123,forward,16,3.7392311069675594,14.753556984972299,0.02620310954230362,PASS
plantview__langdon_4__15-04-24,15-04-24,126,forward,16,2.778130468840725,4.757707633715272,0.053638464464847574,PASS
plantview__langdon_4__15-04-24,15-04-24,129,forward,16,2.3718574960108345,3.6472910973561508,0.048147334688051546,PASS
plantview__langdon_4__15-04-24,15-04-24,132,forward,16,0.9738928402490854,3.889818250555645,0.05357689514351151,PASS
plantview__langdon_4__15-04-24,15-04-24,135,forward,16,2.537745621253135,4.010977842392461,0.04885484503615939,PASS
