sequence,pilot_index,original_index,filename,auto_absrel,auto_rmse,auto_scale,calK_absrel,calK_rmse,calK_scale,delta_absrel,delta_rmse,calK_wins_absrel,calK_wins_rmse
plantview__langdon_4__05-03-24,13,208,0208_eval.png,0.37740821337762204,0.3892238297623545,0.7489988043501804,0.4490308726725606,0.45247433016655236,0.7014962088920023,0.07162265929493855,0.06325050040419788,0,0
plantview__langdon_4__05-03-24,14,224,0224_eval.png,0.8895229337703946,1.1702111742348589,0.6185022754723323,1.018369634509499,1.3375319197454114,0.5781205224933863,0.12884670073910443,0.16732074551055254,0,0
plantview__langdon_4__05-03-24,15,240,0240_eval.png,0.5694032394564565,0.5555616494354124,0.6253547435353048,0.6255508968320277,0.6100183533290177,0.6010210846011877,0.05614765737557115,0.05445670389360524,0,0
plantview__langdon_4__05-03-24,16,256,0256_eval.png,0.7644973655255407,0.9371155035971708,0.563459595388652,0.879812068629344,1.0758234974675887,0.5295324816245867,0.11531470310380332,0.13870799387041788,0,0
plantview__langdon_4__05-03-24,17,272,0272_eval.png,0.9316993216135334,0.9011932474551649,0.4984860833554424,1.0157918371104713,0.9809739132155297,0.4781705048157539,0.08409251549693786,0.0797806657603648,0,0
plantview__langdon_4__05-03-24,18,288,0288_eval.png,0.4825588872477135,0.59402227440027,0.6549224710341255,0.5424173211255678,0.6577317990594923,0.6299231079112037,0.05985843387785433,0.0637095246592223,0,0
plantview__langdon_4__05-03-24,19,304,0304_eval.png,0.6402341745605453,0.6548937412050148,0.6036249253805054,0.7213556276940383,0.7351844097478865,0.5725295564258132,0.08112145313349295,0.0802906685428717,0,0
plantview__langdon_4__12-03-24,0,0,0000_eval.png,0.6150390434816362,0.9978345444707483,3.1670847167058116,0.6146723312600619,0.9978031846316997,3.163104239151827,-0.0003667122215742502,-3.135983904856143e-05,1,1
plantview__langdon_4__12-03-24,1,16,0016_eval.png,0.4351732588676442,0.5742235901180802,0.698991664842176,0.4935595019766188,0.627945707476544,0.665891797692759,0.05838624310897461,0.05372211735846377,0,0
plantview__langdon_4__12-03-24,2,32,0032_eval.png,0.5376642268635907,0.8862999098403015,2.469071121177825,0.5597717480892926,0.913446242676124,2.5917018012485706,0.02210752122570192,0.027146332835822462,0,0
plantview__langdon_4__12-03-24,3,48,0048_eval.png,0.4110183886269682,0.4564582452136658,0.722580480715674,0.4702697356880486,0.51604539952814,0.687130220691703,0.05925134706108037,0.0595871543144742,0,0
plantview__langdon_4__12-03-24,4,64,0064_eval.png,0.34108368713031245,0.6880397763281382,1.781507928500813,0.3276856906893739,0.6674955855125265,1.733817069977851,-0.013397996440938531,-0.02054419081561165,1,1
plantview__langdon_4__12-03-24,5,80,0080_eval.png,0.5713307451090209,0.634860391881316,0.6381590776276393,0.6395771733093105,0.7104893246833272,0.6064221567071366,0.06824642820028959,0.0756289328020111,0,0
plantview__langdon_4__12-03-24,6,96,0096_eval.png,0.3680860462174027,0.7004619780527724,1.8563716352581991,0.353440639734858,0.6765555098797607,1.8032258791007474,-0.014645406482544698,-0.023906468173011786,1,1
plantview__langdon_4__12-03-24,7,112,0112_eval.png,0.6837865390127927,0.7657645663991204,0.5987680765619094,0.7652694599370418,0.8537737609581942,0.5686203781934213,0.08148292092424902,0.08800919455907386,0,0
plantview__langdon_4__12-03-24,8,128,0128_eval.png,0.4283680953276977,0.8022393124171494,2.0776466857306586,0.4096113616669162,0.7736631946895295,2.0035901709703325,-0.01875673366078151,-0.02857611772761992,1,1
plantview__langdon_4__12-03-24,9,144,0144_eval.png,0.5687839470491961,0.6318218810523183,0.6470835079739296,0.6452269327631878,0.7151520501738411,0.6141652186487374,0.07644298571399166,0.0833301691215228,0,0
plantview__langdon_4__12-03-24,10,160,0160_eval.png,0.4036817521390394,0.7427109211736411,1.9720155077983248,0.3845732979555347,0.7161934305942294,1.906144672861534,-0.01910845418350471,-0.026517490579411773,1,1
plantview__langdon_4__12-03-24,11,176,0176_eval.png,0.535178259538553,0.5957610613951648,0.655601494462158,0.5957279838945326,0.6626185891102875,0.6277750271654162,0.060549724355979606,0.06685752771512266,0,0
plantview__langdon_4__12-03-24,12,192,0192_eval.png,0.33496490883540914,0.6483734316389602,1.7887278938349171,0.3193847012221783,0.6213396793508614,1.7318971004995745,-0.015580207613230812,-0.02703375228809879,1,1
plantview__langdon_4__12-03-24,13,208,0208_eval.png,0.6827073686160136,0.7509240000439386,0.5901905937374289,0.757652236197411,0.8319585851643045,0.5625062665779471,0.0749448675813974,0.08103458512036599,0,0
plantview__langdon_4__12-03-24,14,224,0224_eval.png,0.2828570555774545,0.5390952359344032,1.57169635451111,0.27950653907992934,0.5260296124787447,1.5446236962106323,-0.003350516497525158,-0.013065623455658537,1,1
