sequence,pilot_index,original_index,filename,raw_absrel,raw_mae_m,raw_rmse_m,raw_delta1,scale_ratio,aligned_absrel,aligned_rmse_m,auto_raw_absrel,auto_raw_rmse_m,auto_scale_ratio
plantview__langdon_4__13-02-24,8,128,0128_eval.png,0.2793199125097379,0.29161007244268444,0.3204114880964165,0.08931150163293416,0.8152634046756565,0.11860307957746491,0.22205115165392364,0.22553270221710361,0.27294754700774054,0.8616383281747176
plantview__langdon_4__13-02-24,9,144,0144_eval.png,0.24770677672222527,0.2638187979429263,0.279814147534717,0.060124644653400394,0.8221365991248154,0.0923676170425139,0.20563961929779456,0.18210293398594632,0.22774010387760815,0.8842145511288396
plantview__langdon_4__13-02-24,10,160,0160_eval.png,0.4088649723203512,0.3834127905563772,0.4007204880378879,0.04060752750679082,0.7141967665504177,0.07400670623465799,0.12994389004955786,0.3348931090203982,0.3322573032168472,0.757652629758552
plantview__langdon_4__13-02-24,11,176,0176_eval.png,0.2577523262937175,0.291979712876391,0.3425550129137113,0.10451538338912801,0.8180969741463455,0.09709549547731904,0.22445536388919263,0.20624294121843212,0.2923687683234273,0.8628279906661352
plantview__langdon_4__13-02-24,12,192,0192_eval.png,0.3466322826787021,0.3160111055628664,0.33308598771562914,0.03253817746282064,0.7536126104200317,0.09622491569322358,0.17972630349045057,0.2778373698678394,0.2754588420756151,0.8033254529423922
plantview__langdon_4__13-02-24,13,208,0208_eval.png,0.15500899002891413,0.173937730651758,0.2207085166776901,0.4334458992932197,0.944012498521116,0.12140118938192464,0.197180333354205,0.12459694038040359,0.20007119228761588,0.9951986768985548
plantview__langdon_4__13-02-24,14,224,0224_eval.png,0.41494990448793506,0.355389816116916,0.36741370093525305,0.025618321527194142,0.7060539215918478,0.10543720923722524,0.22730628556501511,0.38012446078779655,0.33880621253426313,0.7286240995607252
plantview__langdon_4__13-02-24,15,240,0240_eval.png,0.252050191700667,0.33633448196946264,0.3797471183462968,0.1333111846191625,1.3639725799269793,0.12857041483655593,0.1914000247826051,0.2748310207670373,0.4078134845982317,1.4100838553062116
plantview__langdon_4__13-02-24,16,256,0256_eval.png,0.48007808262203827,0.38677795390925745,0.4021984050247325,0.025548820702867372,0.6744259568996355,0.17958523777108445,0.3279443769107208,0.46204326336683477,0.38915987902777033,0.6863084782910039
plantview__langdon_4__13-02-24,17,272,0272_eval.png,0.5731474609417171,0.7564055897995201,0.7885221515806035,0.0007326262908177505,2.5339239828747813,0.1758361147173191,0.2375508657171566,0.5564293158158663,0.7670715049110979,2.4332126286811655
plantview__langdon_4__13-02-24,18,288,0288_eval.png,0.5821052784846177,0.45778917538275765,0.6218795433532716,0.010704825791890664,0.6319352392536336,0.17925896104187186,0.5447450517969676,0.5243422234099739,0.595386444318169,0.6641132340147099
plantview__langdon_4__13-02-24,19,304,0304_eval.png,0.5489779167466852,0.7356175015419225,0.7663866467483116,0.0,2.297607411123682,0.15503555772425875,0.22961670590586636,0.5213815866123848,0.7322506308340698,2.169828365652531
plantview__langdon_4__20-02-24,0,0,0000_eval.png,0.39197998190578204,0.3115106640801304,0.44789066595591825,0.44881456247204154,0.8930014207916993,0.31903244241338746,0.35773079739715963,0.3597088012515795,0.41388618815440875,0.9258338497989539
plantview__langdon_4__20-02-24,1,16,0018_train.png,0.5873511376489827,0.47530371547799444,0.5013730857452076,0.04759329976456805,0.6143205633591695,0.14569113332077296,0.2942468680105818,0.5252258885215113,0.45020810181651755,0.6449365573014892
plantview__langdon_4__20-02-24,2,32,0034_train.png,0.3136175959297168,0.3854670235109486,0.44461327886221147,0.035843841768872,1.4579036296730667,0.34534847602751295,0.39776691348447274,0.31406460223571125,0.4569435036801842,1.4882728089170496
plantview__langdon_4__20-02-24,3,48,0050_train.png,0.7510730062801234,0.5821342804254419,0.6091035081342404,0.015505828176716075,0.5612683847004827,0.1454873709278516,0.29221824995908424,0.669098886777446,0.5469770297174921,0.5925359777295827
plantview__langdon_4__20-02-24,4,64,0066_train.png,0.30221982401718117,0.3551874699588568,0.48512673744923973,0.02101452836060472,1.2587142157245967,0.30022541865886343,0.45444305988638106,0.30939295356738417,0.5098541711730844,1.3231877620753802
plantview__langdon_4__20-02-24,5,80,0082_train.png,0.7092425497790221,0.5836234655405581,0.6124470124969311,0.04984821654439666,0.5803912109961937,0.13158587225395393,0.2816156852331528,0.6452580015263737,0.5580224033722009,0.6075374756449851
plantview__langdon_4__20-02-24,6,96,0098_train.png,0.24870401002423456,0.3063301482490103,0.3765320618944061,0.08586877781227362,1.2336421491154599,0.22749154792274773,0.31305656559551814,0.2625085941739392,0.40750962489115605,1.2935041372364537
plantview__langdon_4__20-02-24,7,112,0114_train.png,0.6043562137279295,0.5135626830693508,0.5383676789070658,0.06427790570557998,0.6039860942090209,0.09002146083537896,0.1997561079375827,0.5406085757327173,0.4826494291621234,0.6318253406876106
plantview__langdon_4__20-02-24,8,128,0130_train.png,0.27269861985741295,0.29687755401683324,0.35031707084629693,0.07421939631739428,0.8791524413023646,0.1825613053437137,0.32508039456599547,0.238632252055751,0.3371619140932027,0.9203633637582473
plantview__langdon_4__20-02-24,9,144,0146_train.png,0.502612677156234,0.44446720981116217,0.46950378857831676,0.04306317879247927,0.67471269391202,0.12402054865757134,0.2532410343329773,0.45234785465643684,0.42490848952752075,0.7040548634232391
plantview__langdon_4__20-02-24,10,160,0162_train.png,0.5853873585565266,0.6042968043780107,1.401536555688585,0.088098016336056,0.6568489513640362,0.15714676416749596,1.3066169943739294,0.5161269289246769,1.3740973497834055,0.6920346419410717
plantview__langdon_4__20-02-24,11,176,0178_train.png,0.5249105311554042,0.5302511483890141,0.5678443061451728,0.0780459049526073,0.652597730228892,0.13061656432314037,0.2613007894407092,0.46448183441916363,0.501438391746438,0.6861798706375568
plantview__langdon_4__20-02-24,12,192,0194_train.png,0.6050386380577583,0.5473310473219614,0.5892981989829338,0.10690920029077297,0.6120587176928981,0.12830868253496092,0.25103211696917327,0.5396974726742229,0.5240485569645827,0.6448965882595074
plantview__langdon_4__20-02-24,13,208,0210_train.png,0.3535096226654795,0.38535884359762784,0.45884453662555785,0.06514550264550265,0.7866661058614547,0.18171512229672038,0.3851857189895518,0.30905267432565336,0.4252752272937524,0.8341976366662542
plantview__langdon_4__20-02-24,14,224,0226_train.png,0.4444401466583213,0.40872919391275697,0.7478254816005026,0.03339326014611942,0.6929846593595321,0.12927064665009863,0.6777176456855313,0.3828546390979011,0.7210186050892562,0.7346638662055647
plantview__langdon_4__20-02-24,15,240,0242_train.png,0.2314870726648082,0.2704364280487911,0.3620329730265208,0.31737062336826294,0.9798020956422802,0.22131227899754388,0.36265796365318315,0.21682967467371686,0.3708963421895947,1.0189847932207057
plantview__langdon_4__20-02-24,16,256,0258_train.png,0.7337696008022268,0.6152919672791446,0.668808681810048,0.07699422543309252,0.5659977340056835,0.10040695113397062,0.32065138593584785,0.6958188451236776,0.6389202569889777,0.5795631124487842
plantview__langdon_4__20-02-24,17,272,0274_train.png,0.428661905875244,0.5641296497944913,0.6258851234150676,0.06646472330136652,1.9285827554559554,0.2508355706458963,0.3016407866564661,0.4132746252973857,0.6049995246960742,1.8655450731701506
plantview__langdon_4__20-02-24,18,288,0290_train.png,0.6552897518946,0.5193980563286238,0.5552318297902026,0.08036042429695718,0.5732383565561057,0.13257093904251138,0.29507956248877454,0.6011984045017635,0.5098247328769882,0.5965113038426857
plantview__langdon_4__20-02-24,19,304,0306_train.png,0.281787863547571,0.32131335989937365,0.7248384101190318,0.050388431531695685,1.2236659012554318,0.28787660678530536,0.7286406785753511,0.2858326544634914,0.7327276825817651,1.2633100202033396
